distance_class,edge_length,cycle_order,number_of_cycles
2,0.1685333152752339,3,20
3,0.1762785419516708,5,12
4,0.22105953825739094,5,12
5,0.23370245002234744,3,20
6,0.28522467236507765,5,12
7,0.30748959162756806,5,12
9,0.3327921189180813,5,12
10,0.3576818464378163,5,12
12,0.375110544273279,5,12
13,0.37663445402586426,5,12
15,0.42071925588808634,3,20
17,0.4528483798178356,3,20
18,0.45568442233445733,3,20
19,0.48167213279080956,3,20
20,0.49752861044023017,5,12
21,0.5035311577266226,3,20
23,0.531350751617939,3,20
24,0.5384689595975524,5,12
26,0.5531039042873865,3,20
27,0.5547770137431592,3,20
32,0.6069416101726376,5,12
33,0.6094073479481081,5,12
