distance_class,edge_length,number_of_edges,cycles_3,cycles_4,cycles_5,cycles_6,cycles_7,cycles_8,cycles_9,cycles_10,cycles_11,cycles_12,cycles_13,cycles_14,cycles_15,cycles_16,cycles_17,cycles_18,cycles_19,cycles_20
1,0.06102064034494223,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.1685333152752339,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.1762785419516708,60,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.22105953825739094,60,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.23370245002234744,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.28522467236507765,60,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.30748959162756806,60,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.3280194048982759,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.3327921189180813,60,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.3576818464378163,60,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.370853496636637,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.375110544273279,60,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.37663445402586426,60,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.38878840487811434,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.42071925588808634,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.42284846774789087,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.4528483798178356,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.45568442233445733,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.48167213279080956,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.49752861044023017,60,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.5035311577266226,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.5246601290180813,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.531350751617939,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.5384689595975524,60,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.5415926536390562,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.5531039042873865,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.5547770137431592,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.5689508296562161,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.5814225537260893,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.5889577347399677,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.606352707577191,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.6069416101726376,60,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.6094073479481081,60,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.6132566898722043,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.6252021794594005,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.6393985735651736,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.639670719369672,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
