distance_class,edge_length,cycle_order,cycle_number,vertices
2,0.1685333152752339,3,1,"1;33;39"
2,0.1685333152752339,3,2,"2;27;32"
2,0.1685333152752339,3,3,"3;24;41"
2,0.1685333152752339,3,4,"4;13;40"
2,0.1685333152752339,3,5,"5;17;47"
2,0.1685333152752339,3,6,"6;31;48"
2,0.1685333152752339,3,7,"7;9;46"
2,0.1685333152752339,3,8,"8;19;25"
2,0.1685333152752339,3,9,"10;38;42"
2,0.1685333152752339,3,10,"11;14;54"
2,0.1685333152752339,3,11,"12;18;26"
2,0.1685333152752339,3,12,"15;45;49"
2,0.1685333152752339,3,13,"16;20;58"
2,0.1685333152752339,3,14,"21;52;55"
2,0.1685333152752339,3,15,"22;34;53"
2,0.1685333152752339,3,16,"23;28;57"
2,0.1685333152752339,3,17,"29;37;59"
2,0.1685333152752339,3,18,"30;35;60"
2,0.1685333152752339,3,19,"36;44;56"
2,0.1685333152752339,3,20,"43;50;51"
3,0.1762785419516708,5,1,"1;16;38;46;19"
3,0.1762785419516708,5,2,"2;11;31;40;26"
3,0.1762785419516708,5,3,"3;23;45;54;27"
3,0.1762785419516708,5,4,"4;12;25;39;17"
3,0.1762785419516708,5,5,"5;22;52;58;33"
3,0.1762785419516708,5,6,"6;13;47;53;30"
3,0.1762785419516708,5,7,"7;8;18;32;24"
3,0.1762785419516708,5,8,"9;10;37;57;41"
3,0.1762785419516708,5,9,"14;15;44;60;48"
3,0.1762785419516708,5,10,"20;21;51;59;42"
3,0.1762785419516708,5,11,"28;29;43;56;49"
3,0.1762785419516708,5,12,"34;35;36;50;55"
4,0.22105953825739094,5,1,"1;5;13;26;8"
4,0.22105953825739094,5,2,"2;3;9;19;12"
4,0.22105953825739094,5,3,"4;6;14;27;18"
4,0.22105953825739094,5,4,"7;10;20;33;25"
4,0.22105953825739094,5,5,"11;15;28;41;32"
4,0.22105953825739094,5,6,"16;21;34;47;39"
4,0.22105953825739094,5,7,"17;22;35;48;40"
4,0.22105953825739094,5,8,"23;24;46;42;29"
4,0.22105953825739094,5,9,"30;31;54;49;36"
4,0.22105953825739094,5,10,"37;38;58;55;43"
4,0.22105953825739094,5,11,"44;45;57;59;50"
4,0.22105953825739094,5,12,"51;52;53;60;56"
5,0.23370245002234744,3,1,"1;7;12"
5,0.23370245002234744,3,2,"2;4;8"
5,0.23370245002234744,3,3,"3;11;18"
5,0.23370245002234744,3,4,"5;16;25"
5,0.23370245002234744,3,5,"6;17;26"
5,0.23370245002234744,3,6,"9;23;32"
5,0.23370245002234744,3,7,"10;19;24"
5,0.23370245002234744,3,8,"13;22;39"
5,0.23370245002234744,3,9,"14;30;40"
5,0.23370245002234744,3,10,"15;27;31"
5,0.23370245002234744,3,11,"20;37;46"
5,0.23370245002234744,3,12,"21;33;38"
5,0.23370245002234744,3,13,"28;44;54"
5,0.23370245002234744,3,14,"29;41;45"
5,0.23370245002234744,3,15,"34;51;58"
5,0.23370245002234744,3,16,"35;47;52"
5,0.23370245002234744,3,17,"36;48;53"
5,0.23370245002234744,3,18,"42;43;57"
5,0.23370245002234744,3,19,"49;50;60"
5,0.23370245002234744,3,20,"55;56;59"
6,0.28522467236507765,5,1,"1;38;19;16;46"
6,0.28522467236507765,5,2,"2;31;26;11;40"
6,0.28522467236507765,5,3,"3;45;27;23;54"
6,0.28522467236507765,5,4,"4;25;17;12;39"
6,0.28522467236507765,5,5,"5;52;33;22;58"
6,0.28522467236507765,5,6,"6;47;30;13;53"
6,0.28522467236507765,5,7,"7;18;24;8;32"
6,0.28522467236507765,5,8,"9;37;41;10;57"
6,0.28522467236507765,5,9,"14;44;48;15;60"
6,0.28522467236507765,5,10,"20;51;42;21;59"
6,0.28522467236507765,5,11,"28;43;49;29;56"
6,0.28522467236507765,5,12,"34;36;55;35;50"
7,0.30748959162756806,5,1,"1;17;53;55;20"
7,0.30748959162756806,5,2,"2;14;49;57;24"
7,0.30748959162756806,5,3,"3;7;38;59;28"
7,0.30748959162756806,5,4,"4;5;34;60;31"
7,0.30748959162756806,5,5,"6;11;45;56;35"
7,0.30748959162756806,5,6,"8;9;42;58;39"
7,0.30748959162756806,5,7,"10;16;52;50;29"
7,0.30748959162756806,5,8,"12;13;48;54;32"
7,0.30748959162756806,5,9,"15;23;37;51;36"
7,0.30748959162756806,5,10,"18;19;33;47;40"
7,0.30748959162756806,5,11,"21;22;30;44;43"
7,0.30748959162756806,5,12,"25;26;27;41;46"
9,0.3327921189180813,5,1,"1;4;11;23;10"
9,0.3327921189180813,5,2,"2;6;22;16;7"
9,0.3327921189180813,5,3,"3;8;17;30;15"
9,0.3327921189180813,5,4,"5;12;24;37;21"
9,0.3327921189180813,5,5,"9;18;31;44;29"
9,0.3327921189180813,5,6,"13;25;38;51;35"
9,0.3327921189180813,5,7,"14;26;39;52;36"
9,0.3327921189180813,5,8,"19;20;43;45;32"
9,0.3327921189180813,5,9,"27;28;50;53;40"
9,0.3327921189180813,5,10,"33;34;56;57;46"
9,0.3327921189180813,5,11,"41;42;55;60;54"
9,0.3327921189180813,5,12,"47;48;49;59;58"
10,0.3576818464378163,5,1,"1;13;8;5;26"
10,0.3576818464378163,5,2,"2;9;12;3;19"
10,0.3576818464378163,5,3,"4;14;18;6;27"
10,0.3576818464378163,5,4,"7;20;25;10;33"
10,0.3576818464378163,5,5,"11;28;32;15;41"
10,0.3576818464378163,5,6,"16;34;39;21;47"
10,0.3576818464378163,5,7,"17;35;40;22;48"
10,0.3576818464378163,5,8,"23;42;24;29;46"
10,0.3576818464378163,5,9,"30;49;31;36;54"
10,0.3576818464378163,5,10,"37;55;38;43;58"
10,0.3576818464378163,5,11,"44;57;50;45;59"
10,0.3576818464378163,5,12,"51;53;56;52;60"
12,0.375110544273279,5,1,"1;9;28;36;22"
12,0.375110544273279,5,2,"2;13;34;43;23"
12,0.375110544273279,5,3,"3;10;21;35;14"
12,0.375110544273279,5,4,"4;19;42;50;30"
12,0.375110544273279,5,5,"5;6;15;29;20"
12,0.375110544273279,5,6,"7;26;48;56;37"
12,0.375110544273279,5,7,"8;16;51;49;27"
