distance_class,edge_length,number_of_edges,cycles_3,cycles_4,cycles_5,cycles_6,cycles_7,cycles_8,cycles_9,cycles_10,cycles_11,cycles_12,cycles_13,cycles_14,cycles_15,cycles_16,cycles_17,cycles_18,cycles_19,cycles_20
1,0.05018187570280486,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.07096788920422752,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.12507171947684556,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.14366512394929265,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.16370502695208364,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.17176904294686793,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.17225062849294356,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.17831452177501783,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.19630388506530225,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.19779781226021476,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.2049266154060004,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.22075793149428832,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.24359917494201028,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.24518638806441248,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.2506318624837275,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.25217481506230277,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
