distance_class,edge_length,cycle_order,cycle_number,vertices
1,0.05018187570280486,4,1,"1;2;3;4"
1,0.05018187570280486,4,2,"5;6;7;8"
1,0.05018187570280486,4,3,"9;10;11;12"
1,0.05018187570280486,4,4,"13;14;15;16"
1,0.05018187570280486,4,5,"17;18;19;20"
1,0.05018187570280486,4,6,"21;22;23;24"
4,0.14366512394929265,3,1,"1;13;24"
4,0.14366512394929265,3,2,"2;16;17"
4,0.14366512394929265,3,3,"3;9;20"
4,0.14366512394929265,3,4,"4;12;21"
4,0.14366512394929265,3,5,"5;15;18"
4,0.14366512394929265,3,6,"6;14;23"
4,0.14366512394929265,3,7,"7;11;22"
4,0.14366512394929265,3,8,"8;10;19"
5,0.16370502695208364,3,1,"1;9;22"
5,0.16370502695208364,3,2,"2;14;21"
5,0.16370502695208364,3,3,"3;13;18"
5,0.16370502695208364,3,4,"4;10;17"
5,0.16370502695208364,3,5,"5;11;20"
5,0.16370502695208364,3,6,"6;16;19"
5,0.16370502695208364,3,7,"7;15;24"
5,0.16370502695208364,3,8,"8;12;23"
7,0.17225062849294356,4,1,"1;12;7;14"
7,0.17225062849294356,4,2,"2;18;6;24"
7,0.17225062849294356,4,3,"3;10;5;16"
7,0.17225062849294356,4,4,"4;20;8;22"
7,0.17225062849294356,4,5,"9;17;13;21"
7,0.17225062849294356,4,6,"11;19;15;23"
8,0.17831452177501783,4,1,"1;17;5;23"
8,0.17831452177501783,4,2,"2;9;8;15"
8,0.17831452177501783,4,3,"3;19;7;21"
8,0.17831452177501783,4,4,"4;11;6;13"
8,0.17831452177501783,4,5,"10;18;14;22"
8,0.17831452177501783,4,6,"12;20;16;24"
9,0.19630388506530225,3,1,"1;15;20"
9,0.19630388506530225,3,2,"2;12;19"
9,0.19630388506530225,3,3,"3;11;24"
9,0.19630388506530225,3,4,"4;16;23"
9,0.19630388506530225,3,5,"5;13;22"
9,0.19630388506530225,3,6,"6;10;21"
9,0.19630388506530225,3,7,"7;9;18"
9,0.19630388506530225,3,8,"8;14;17"
11,0.2049266154060004,3,1,"1;11;18"
11,0.2049266154060004,3,2,"2;10;23"
11,0.2049266154060004,3,3,"3;15;22"
11,0.2049266154060004,3,4,"4;14;19"
11,0.2049266154060004,3,5,"5;9;24"
11,0.2049266154060004,3,6,"6;12;17"
11,0.2049266154060004,3,7,"7;13;20"
11,0.2049266154060004,3,8,"8;16;21"
