distance_class,edge_length,cycle_order,cycle_number,vertices
2,0.5432722022607549,3,1,"1;5;10"
2,0.5432722022607549,3,2,"2;4;8"
2,0.5432722022607549,3,3,"3;7;11"
2,0.5432722022607549,3,4,"6;9;12"
3,0.6596095766181532,3,1,"1;6;7"
3,0.6596095766181532,3,2,"2;9;10"
3,0.6596095766181532,3,3,"3;4;12"
3,0.6596095766181532,3,4,"5;8;11"
4,0.7603249042051144,3,1,"1;8;12"
4,0.7603249042051144,3,2,"2;6;11"
4,0.7603249042051144,3,3,"3;5;9"
4,0.7603249042051144,3,4,"4;7;10"
5,0.8103533680186578,3,1,"1;2;3"
5,0.8103533680186578,3,2,"4;5;6"
5,0.8103533680186578,3,3,"7;8;9"
5,0.8103533680186578,3,4,"10;11;12"
